order_level,role,model,slots,success_rate,mean_timesteps,mean_actions,mean_validator_errors,total_tokens,tokens_per_slot,tokens_per_call,tokens_per_nonempty_turn
level_1,P0,?,2,0.0,5.0,0.0,0.0,4480,2240.0,560.0,248.88888888888889
level_1,P0,gpt-4o,8,0.75,15.375,4.0,2.25,15949,1993.625,590.7037037037037,257.241935483871
level_1,P1,?,2,0.0,5.0,1.0,0.0,0,0.0,,
level_1,P1,claude-sonnet-4-20250514,8,0.75,15.375,2.375,0.75,16151,2018.875,897.2777777777778,310.59615384615387
level_2,P0,claude-sonnet-4-20250514,2,1.0,26.5,5.0,1.0,28592,14296.0,1143.68,433.2121212121212
level_2,P0,gpt-4o,2,1.0,25.5,5.0,3.5,7495,3747.5,576.5384615384615,288.2692307692308
level_2,P1,claude-sonnet-4-20250514,2,1.0,25.5,5.0,1.5,4662,2331.0,777.0,333.0
level_2,P1,gpt-4o,2,1.0,26.5,6.0,1.5,1728,864.0,576.0,432.0
level_3,P0,claude-sonnet-4-20250514,5,1.0,39.0,9.0,1.4,73556,14711.2,1186.3870967741937,338.96774193548384
level_3,P1,gpt-4o,5,1.0,39.0,11.4,4.6,7088,1417.6,708.8,295.3333333333333
