run,run_dir,run_id,order,p0_model,p1_model,p0_agent_type,p1_agent_type,total_score,horizon_len,success,comm_calls,comm_tokens_sum,say_len_chars_mean,plan_atom_count_mean,waste_score_mean,validator_fail_window,p0_wait,p1_wait,total_wait,align_exact,align_family,align_none
a-tom_claude-sonnet-4-20250514:experiment_2026-04-23_10-19-10_baked_potato_slices,a-tom_claude-sonnet-4-20250514,e25db7846b817699,baked_potato_slices,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,20.0,26.0,1.0,36.0,54008.0,95.01515151515152,1.378787878787879,0.7307692307692307,16.0,11.0,7.0,18.0,53.0,1.0,12.0
a-tom_gpt-4o:experiment_2026-04-23_10-15-18_baked_potato_slices,a-tom_gpt-4o,1057013ede0059e7,baked_potato_slices,gpt-4o,gpt-4o,a-tom,a-tom,20.0,26.0,1.0,13.0,7580.0,28.741935483870968,1.3870967741935485,0.23076923076923078,9.0,6.0,2.0,8.0,21.0,0.0,10.0
a-tom_gpt-4o__a-tom_claude-sonnet-4-20250514:experiment_2026-04-23_09-12-32_boiled_egg,a-tom_gpt-4o__a-tom_claude-sonnet-4-20250514,2c7db8c619bae899,boiled_egg,gpt-4o,claude-sonnet-4-20250514,a-tom,a-tom,20.0,16.0,1.0,4.0,2832.0,27.263157894736842,1.2105263157894737,0.125,2.0,5.0,5.0,10.0,17.0,1.0,1.0
claude-sonnet-4-20250514__gpt-4o:experiment_2026-04-23_08-22-19_baked_potato_slices,claude-sonnet-4-20250514__gpt-4o,a82f5e57a5ad62e4,baked_potato_slices,claude-sonnet-4-20250514,gpt-4o,nan,nan,20.0,27.0,1.0,39.0,43820.0,90.3768115942029,1.5072463768115942,0.5555555555555556,21.0,11.0,2.0,13.0,49.0,4.0,16.0
gpt-4o__claude-sonnet-4-20250514:experiment_2026-04-23_07-52-07_boiled_egg,gpt-4o__claude-sonnet-4-20250514,732dc8acf5f88fd1,boiled_egg,gpt-4o,claude-sonnet-4-20250514,nan,nan,20.0,16.0,1.0,16.0,10412.0,58.588235294117645,1.2058823529411764,0.6875,12.0,5.0,5.0,10.0,23.0,1.0,10.0
gpt-4o__claude-sonnet-4-20250514:experiment_2026-04-23_08-01-39_baked_potato_slices,gpt-4o__claude-sonnet-4-20250514,6e90fcba1912f45b,baked_potato_slices,gpt-4o,claude-sonnet-4-20250514,nan,nan,20.0,25.0,1.0,29.0,17438.0,81.03921568627452,1.2352941176470589,0.64,19.0,13.0,6.0,19.0,29.0,1.0,21.0
proagent_gpt-4o__baseline_claude-sonnet-4-20250514:experiment_2026-04-23_09-07-25_boiled_egg,proagent_gpt-4o__baseline_claude-sonnet-4-20250514,ae3bb6f2daa53b15,boiled_egg,gpt-4o,claude-sonnet-4-20250514,proagent,baseline,20.0,17.0,1.0,19.0,23101.0,95.75,1.1,0.5294117647058824,5.0,6.0,6.0,12.0,26.0,3.0,11.0
reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514:experiment_2026-04-23_09-15-04_boiled_egg,reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514,415643ae675fc21e,boiled_egg,gpt-4o,claude-sonnet-4-20250514,reflexion,reflexion,20.0,17.0,1.0,21.0,13464.0,54.357142857142854,1.2857142857142858,0.7647058823529411,21.0,6.0,9.0,15.0,30.0,1.0,11.0
reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514:experiment_2026-04-23_09-18-41_boiled_egg,reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514,27e796cdbb7218b4,boiled_egg,gpt-4o,claude-sonnet-4-20250514,reflexion,reflexion,20.0,17.0,1.0,18.0,21754.0,80.15789473684211,1.4736842105263157,0.47058823529411764,10.0,6.0,5.0,11.0,26.0,6.0,6.0
reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514:experiment_2026-04-23_09-22-17_boiled_egg,reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514,bcc6cd7cef759151,boiled_egg,gpt-4o,claude-sonnet-4-20250514,reflexion,reflexion,20.0,30.0,1.0,19.0,14877.0,64.20454545454545,1.3636363636363635,0.23333333333333334,12.0,8.0,7.0,15.0,23.0,2.0,19.0
